"X.x","well","measure_date","napon_ab","napon_bc","napon_ca","elektricna_struja_fazaa","elektricna_struja_fazab","elektricna_struja_fazac","koeficijent_kapaciteta","frekvencija","radno_opterecenje","aktivna_snaga","pritisak_na_prijemu_pumpe","temperatura_motora","temperatura_u_busotini","X.y","esp_type","date_time","label","napon_change","struja_change","frekvencija_change","pritisak_change","temperatura_motora_change","temperatura_busotine_change"
62617,"well_1",2020-07-20 23:53:47,382,410,399,10,10,11,98,41,42,16,107,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
63608,"well_1",2020-07-21 20:03:26,380,408,396,13,13,13,97,41.5,51,21,105,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
68207,"well_1",2020-07-25 17:40:36,378,403,399,0,0,0,100,0,0,0,0,0,0,0,"5-30-2250",2020-08-14,"Mehanicke primese",-9,-12,-41.5,-100,-124,-125
68376,"well_1",2020-07-25 20:47:22,368,394,375,12,12,12,98,41.5,49,20,101,124,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
68377,"well_1",2020-07-25 22:17:19,397,429,423,0,0,0,100,0,0,0,0,0,0,0,"5-30-2250",2020-08-14,"Mehanicke primese",29,-12,-41.5,-101,-124,-125
69648,"well_1",2020-07-27 12:32:53,366,392,384,11,11,11,98,41.5,45,18,101,125,125,0,"5-30-2250",2020-08-14,"Mehanicke primese",0,0,0,0,0,0
69649,"well_1",2020-07-27 13:50:17,396,425,420,0,0,0,100,0,0,0,0,0,0,0,"5-30-2250",2020-08-14,"Mehanicke primese",30,-11,-41.5,-101,-125,-125
78036,"well_1",2020-08-06 16:37:49,392,396,392,21,21,22,87,58,76,48,101,129,129,0,"5-30-2250",2020-08-14,"Mehanicke primese",-5,3,4,1,1,1
78345,"well_1",2020-08-07 16:32:13,397,401,397,14,14,14,95,35,56,21,154,101,100,0,"5-30-2250",2020-08-14,"Mehanicke primese",-13,-5,31.3,2,-3,-2
102976,"well_1",2020-09-26 13:24:01,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102977,"well_1",2020-09-26 13:24:12,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102978,"well_1",2020-09-26 13:24:22,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102979,"well_1",2020-09-26 13:24:33,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102980,"well_1",2020-09-26 13:24:55,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102981,"well_1",2020-09-26 13:25:11,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102982,"well_1",2020-09-26 13:25:43,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102983,"well_1",2020-09-26 13:25:59,368,394,385,14,14,14,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102986,"well_1",2020-09-26 13:27:03,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102987,"well_1",2020-09-26 13:27:11,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102988,"well_1",2020-09-26 13:27:36,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102989,"well_1",2020-09-26 13:27:47,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102990,"well_1",2020-09-26 13:29:02,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102991,"well_1",2020-09-26 13:30:36,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102992,"well_1",2020-09-26 13:30:52,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102993,"well_1",2020-09-26 13:31:03,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102994,"well_1",2020-09-26 13:31:14,371,397,387,14,14,15,93,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102995,"well_1",2020-09-26 13:31:24,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",-3,0,0,0,0,0
102996,"well_1",2020-09-26 13:31:51,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102997,"well_1",2020-09-26 13:32:18,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102998,"well_1",2020-09-26 13:32:34,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
102999,"well_1",2020-09-26 13:32:59,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103000,"well_1",2020-09-26 13:33:58,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103001,"well_1",2020-09-26 13:34:32,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103002,"well_1",2020-09-26 13:35:04,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103003,"well_1",2020-09-26 13:35:42,368,396,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103006,"well_1",2020-09-26 13:37:07,370,396,384,14,14,14,94,47,55,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103007,"well_1",2020-09-26 13:37:23,370,396,384,14,14,14,94,47,55,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103008,"well_1",2020-09-26 13:38:38,370,396,384,14,14,14,94,47,55,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103009,"well_1",2020-09-26 13:39:07,370,396,384,14,14,14,94,47,55,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103010,"well_1",2020-09-26 13:40:17,370,396,384,14,14,14,94,47,55,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103013,"well_1",2020-09-26 13:43:24,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103014,"well_1",2020-09-26 13:43:40,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103015,"well_1",2020-09-26 13:44:26,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103016,"well_1",2020-09-26 13:45:31,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103017,"well_1",2020-09-26 13:45:41,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103018,"well_1",2020-09-26 13:45:57,370,394,384,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103019,"well_1",2020-09-26 13:46:07,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",-2,0,0,0,0,0
103020,"well_1",2020-09-26 13:46:34,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103021,"well_1",2020-09-26 13:46:45,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103022,"well_1",2020-09-26 13:47:12,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103023,"well_1",2020-09-26 13:47:34,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103024,"well_1",2020-09-26 13:48:06,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103025,"well_1",2020-09-26 13:48:16,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103026,"well_1",2020-09-26 13:48:43,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103027,"well_1",2020-09-26 13:48:59,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103028,"well_1",2020-09-26 13:49:15,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103029,"well_1",2020-09-26 13:49:25,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103030,"well_1",2020-09-26 13:49:57,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103031,"well_1",2020-09-26 13:50:40,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103032,"well_1",2020-09-26 13:50:56,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103033,"well_1",2020-09-26 13:51:28,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103034,"well_1",2020-09-26 13:51:39,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103035,"well_1",2020-09-26 13:52:01,368,394,384,14,14,14,94,47,53,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103036,"well_1",2020-09-26 13:52:17,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",-2,0,0,0,0,0
103037,"well_1",2020-09-26 13:52:44,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103038,"well_1",2020-09-26 13:52:54,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103039,"well_1",2020-09-26 13:53:05,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103040,"well_1",2020-09-26 13:53:37,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103041,"well_1",2020-09-26 13:53:59,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103042,"well_1",2020-09-26 13:54:15,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103043,"well_1",2020-09-26 13:54:31,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103044,"well_1",2020-09-26 13:55:19,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103045,"well_1",2020-09-26 13:55:35,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103046,"well_1",2020-09-26 13:56:07,366,392,380,14,14,14,94,47,54,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103047,"well_1",2020-09-26 13:56:18,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",-1,0,0,0,0,0
103048,"well_1",2020-09-26 13:56:34,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103049,"well_1",2020-09-26 13:56:45,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103050,"well_1",2020-09-26 13:57:06,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103051,"well_1",2020-09-26 13:57:17,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103052,"well_1",2020-09-26 13:57:49,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103053,"well_1",2020-09-26 13:57:59,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103054,"well_1",2020-09-26 13:58:10,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103055,"well_1",2020-09-26 13:58:21,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103056,"well_1",2020-09-26 13:58:37,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103057,"well_1",2020-09-26 13:59:30,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103058,"well_1",2020-09-26 13:59:51,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103059,"well_1",2020-09-26 14:00:07,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103060,"well_1",2020-09-26 14:00:56,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103061,"well_1",2020-09-26 14:01:12,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103062,"well_1",2020-09-26 14:01:44,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103063,"well_1",2020-09-26 14:01:55,365,392,380,14,15,15,94,47,56,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103064,"well_1",2020-09-26 14:02:48,370,394,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",5,0,0,0,0,0
103065,"well_1",2020-09-26 14:03:15,370,394,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103066,"well_1",2020-09-26 14:03:31,370,394,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103067,"well_1",2020-09-26 14:03:47,370,394,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103068,"well_1",2020-09-26 14:03:58,370,394,384,14,14,14,94,47,55,28,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103069,"well_1",2020-09-26 14:04:18,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",8,-14,-47,0,0,0
103070,"well_1",2020-09-26 14:04:34,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103071,"well_1",2020-09-26 14:04:56,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103072,"well_1",2020-09-26 14:05:23,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103073,"well_1",2020-09-26 14:05:39,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103074,"well_1",2020-09-26 14:05:55,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103075,"well_1",2020-09-26 14:06:05,378,404,396,0,0,0,100,0,0,27,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103076,"well_1",2020-09-26 14:06:48,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",2,0,0,0,0,0
103077,"well_1",2020-09-26 14:06:59,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103078,"well_1",2020-09-26 14:07:10,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103079,"well_1",2020-09-26 14:07:32,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103080,"well_1",2020-09-26 14:07:43,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103081,"well_1",2020-09-26 14:08:04,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103082,"well_1",2020-09-26 14:08:26,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103083,"well_1",2020-09-26 14:08:41,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103084,"well_1",2020-09-26 14:09:03,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103085,"well_1",2020-09-26 14:09:19,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103086,"well_1",2020-09-26 14:10:29,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103087,"well_1",2020-09-26 14:10:51,380,404,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103090,"well_1",2020-09-26 14:11:44,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103091,"well_1",2020-09-26 14:12:11,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103092,"well_1",2020-09-26 14:12:32,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103093,"well_1",2020-09-26 14:13:04,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103094,"well_1",2020-09-26 14:13:31,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103095,"well_1",2020-09-26 14:13:52,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103096,"well_1",2020-09-26 14:14:24,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103097,"well_1",2020-09-26 14:14:51,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103098,"well_1",2020-09-26 14:15:23,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103099,"well_1",2020-09-26 14:15:50,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103100,"well_1",2020-09-26 14:16:11,382,408,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103101,"well_1",2020-09-26 14:16:32,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",15,0,0,0,0,0
103102,"well_1",2020-09-26 14:17:05,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103103,"well_1",2020-09-26 14:17:37,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103104,"well_1",2020-09-26 14:17:59,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103105,"well_1",2020-09-26 14:18:15,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103106,"well_1",2020-09-26 14:18:31,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103107,"well_1",2020-09-26 14:18:53,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103108,"well_1",2020-09-26 14:19:36,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103109,"well_1",2020-09-26 14:19:52,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103110,"well_1",2020-09-26 14:20:40,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103111,"well_1",2020-09-26 14:21:17,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103112,"well_1",2020-09-26 14:21:38,397,401,399,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103113,"well_1",2020-09-26 14:22:00,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",-3,0,0,0,0,0
103114,"well_1",2020-09-26 14:22:27,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103115,"well_1",2020-09-26 14:22:42,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103116,"well_1",2020-09-26 14:23:03,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103117,"well_1",2020-09-26 14:23:36,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
103118,"well_1",2020-09-26 14:23:52,394,397,396,0,0,0,100,0,0,0,81,125,125,1,"5-30-2250",2020-10-04,"Mehanicke primese",0,0,0,0,0,0
